# AutoResolve Transport Accuracy Log
# Format: timestamp(s) | command | action | play_sec | frame | drift_frames

   0.000 | space        | play         |    0.000 |      0 |  0
   0.100 | space        | play         |    0.100 |      3 |  0
   0.200 | space        | play         |    0.200 |      6 |  0
   0.300 | space        | play         |    0.300 |      9 |  0
   0.400 | space        | play         |    0.400 |     12 |  0
   0.500 | space        | play         |    0.500 |     15 |  0
   0.600 | space        | play         |    0.600 |     18 |  0
   0.700 | space        | play         |    0.700 |     21 |  0
   0.800 | space        | play         |    0.800 |     24 |  0
   0.900 | space        | play         |    0.900 |     27 |  0
   2.007 | j            | reverse_1x   |    2.007 |     60 |  0
   2.107 | j            | reverse_1x   |    2.107 |     63 |  0
   2.207 | j            | reverse_1x   |    2.207 |     66 |  0
   2.307 | j            | reverse_1x   |    2.307 |     69 |  0
   2.407 | j            | reverse_1x   |    2.407 |     72 |  0
   2.507 | j            | reverse_1x   |    2.507 |     75 |  0
   2.607 | j            | reverse_1x   |    2.607 |     78 |  0
   2.707 | j            | reverse_1x   |    2.707 |     81 |  0
   2.807 | j            | reverse_1x   |    2.807 |     84 |  0
   2.907 | j            | reverse_1x   |    2.907 |     87 |  0
   3.510 | l            | forward_1x   |    3.510 |    105 |  0
   3.610 | l            | forward_1x   |    3.610 |    108 |  0
   3.710 | l            | forward_1x   |    3.710 |    111 |  0
   3.810 | l            | forward_1x   |    3.810 |    114 |  0
   3.910 | l            | forward_1x   |    3.910 |    117 |  0
   4.010 | l            | forward_1x   |    4.010 |    120 |  0
   4.110 | l            | forward_1x   |    4.110 |    123 |  0
   4.210 | l            | forward_1x   |    4.210 |    126 |  0
   4.310 | l            | forward_1x   |    4.310 |    129 |  0
   4.410 | l            | forward_1x   |    4.410 |    132 |  0
   5.017 | l            | forward_2x   |    5.017 |    150 |  0
   5.117 | l            | forward_2x   |    5.117 |    153 |  0
   5.217 | l            | forward_2x   |    5.217 |    156 |  0
   5.317 | l            | forward_2x   |    5.317 |    159 |  0
   5.417 | l            | forward_2x   |    5.417 |    162 |  0
   5.517 | l            | forward_2x   |    5.517 |    165 |  0
   5.617 | l            | forward_2x   |    5.617 |    168 |  0
   5.717 | l            | forward_2x   |    5.717 |    171 |  0
   5.817 | l            | forward_2x   |    5.817 |    174 |  0
   5.917 | l            | forward_2x   |    5.917 |    177 |  0
   6.527 | k            | pause        |    6.527 |    195 |  0
   6.627 | k            | pause        |    6.627 |    198 |  0
   6.727 | k            | pause        |    6.727 |    201 |  0
   6.827 | k            | pause        |    6.827 |    204 |  0
   6.927 | k            | pause        |    6.927 |    207 |  0
   7.027 | k            | pause        |    7.027 |    210 |  0
   7.127 | k            | pause        |    7.127 |    213 |  0
   7.227 | k            | pause        |    7.227 |    216 |  0
   7.327 | k            | pause        |    7.327 |    219 |  0
   7.427 | k            | pause        |    7.427 |    222 |  0
   7.531 | arrow_right  | frame_forward |    7.531 |    225 |  0
   7.631 | arrow_right  | frame_forward |    7.631 |    228 |  0
   7.731 | arrow_right  | frame_forward |    7.731 |    231 |  0
   7.831 | arrow_right  | frame_forward |    7.831 |    234 |  0
   7.931 | arrow_right  | frame_forward |    7.931 |    237 |  0
   8.031 | arrow_right  | frame_forward |    8.031 |    240 |  0
   8.131 | arrow_right  | frame_forward |    8.131 |    243 |  0
   8.231 | arrow_right  | frame_forward |    8.231 |    246 |  0
   8.331 | arrow_right  | frame_forward |    8.331 |    249 |  0
   8.431 | arrow_right  | frame_forward |    8.431 |    252 |  0
   8.533 | arrow_left   | frame_back   |    8.533 |    255 |  0
   8.633 | arrow_left   | frame_back   |    8.633 |    258 |  0
   8.733 | arrow_left   | frame_back   |    8.733 |    261 |  0
   8.833 | arrow_left   | frame_back   |    8.833 |    264 |  0
   8.933 | arrow_left   | frame_back   |    8.933 |    267 |  0
   9.033 | arrow_left   | frame_back   |    9.033 |    270 |  0
   9.133 | arrow_left   | frame_back   |    9.133 |    273 |  0
   9.233 | arrow_left   | frame_back   |    9.233 |    276 |  0
   9.333 | arrow_left   | frame_back   |    9.333 |    279 |  0
   9.433 | arrow_left   | frame_back   |    9.433 |    282 |  0
   9.534 | space        | play         |    9.534 |    286 |  0
   9.634 | space        | play         |    9.634 |    289 |  0
   9.734 | space        | play         |    9.734 |    292 |  0
   9.834 | space        | play         |    9.834 |    295 |  0
   9.934 | space        | play         |    9.934 |    298 |  0
  10.034 | space        | play         |   10.034 |    301 |  0
  10.134 | space        | play         |   10.134 |    304 |  0
  10.234 | space        | play         |   10.234 |    307 |  0
  10.334 | space        | play         |   10.334 |    310 |  0
  10.434 | space        | play         |   10.434 |    313 |  0
